title,description,content,source,published_at,url,text,label,ml_score,base_score,risk_score,final_score,risk_level
Six out of 10 university students are into cybercrime — EFCC,"The EFCC chairman reveals a shocking statistic: six out of 10 university students are involved in cybercrime, posing a threat to Nigeria’s future.

Read More: https://punchng.com/six-out-of-10-university-students-are-into-cybercrime-efcc/","The Chairman of the Economic and Financial Crimes Commission, Olanipekun Olukoyede, has raised concern over the rising involvement of Nigerian university students in cybercrime, stating that about si… [+2755 chars]",The Punch,2026-04-28T16:52:40Z,https://punchng.com/six-out-of-10-university-students-are-into-cybercrime-efcc/,"six out of 10 university students are into cybercrime — efcc the efcc chairman reveals a shocking statistic: six out of 10 university students are involved in cybercrime, posing a threat to nigeria’s future.

read more: https://punchng.com/six-out-of-10-university-students-are-into-cybercrime-efcc/",0,0.04,0,0.0,0.012,Low
"People Moves: MGA Banyan Risk Taps Ex-SiriusPoint CEO Malloy as Executive MD; CFC Names Finn From Canopius as Head of Cyber Exposure, Proactive Risk","This edition of International People Moves details appointments at managing general agents Banyan Risk and CFC. A summary of these new hires follows here. MGA Banyan Risk Taps Ex-SiriusPoint CEO Malloy as Executive MD Banyan Risk Ltd., a specialty managing …","This edition of International People Moves details appointments at managing general agents Banyan Risk and CFC.
A summary of these new hires follows here.
MGA Banyan Risk Taps Ex-SiriusPoint CEO Ma… [+5072 chars]",Insurance Journal,2026-04-28T16:23:52Z,https://www.insurancejournal.com/news/international/2026/04/28/867559.htm,"people moves: mga banyan risk taps ex-siriuspoint ceo malloy as executive md; cfc names finn from canopius as head of cyber exposure, proactive risk this edition of international people moves details appointments at managing general agents banyan risk and cfc. a summary of these new hires follows here. mga banyan risk taps ex-siriuspoint ceo malloy as executive md banyan risk ltd., a specialty managing …",0,0.17,0,0.0,0.051000000000000004,Low
Why AI agents are triggering a rethink of enterprise identity,"The Computer Weekly Security Think Tank considers the intersection of AI and IAM. In this article, we look at the specific impacts of agentic AI on the security stack.","We understand many organisations are still in the early stages of AI maturity, focusing on governance and basic controls around new technologies. One of the biggest challenges in this journey is inte… [+5264 chars]",ComputerWeekly.com,2026-04-28T14:46:00Z,https://www.computerweekly.com/opinion/Why-AI-agents-are-triggering-a-rethink-of-enterprise-identity,"why ai agents are triggering a rethink of enterprise identity the computer weekly security think tank considers the intersection of ai and iam. in this article, we look at the specific impacts of agentic ai on the security stack.",0,0.03,0,0.0,0.009,Low
"IDA and EI will no longer need ministerial sign off to back defence linked firms, under proposed legal changes","Planned new legislation will mean that the IDA, Enterprise Ireland and other development agencies will no longer have to secure government approval before they support companies that are involved in military-related commercial activities.","Planned new legislation will mean that the IDA, Enterprise Ireland and other development agencies will no longer have to secure government approval before they support companies that are involved in … [+3348 chars]",Independent.ie,2026-04-28T14:12:28Z,https://www.independent.ie/business/irish/ida-and-ei-will-no-longer-need-ministerial-sign-off-to-back-defence-linked-firms-under-proposed-legal-changes/a1114512539.html,"ida and ei will no longer need ministerial sign off to back defence linked firms, under proposed legal changes planned new legislation will mean that the ida, enterprise ireland and other development agencies will no longer have to secure government approval before they support companies that are involved in military-related commercial activities.",0,0.03,0,0.0,0.009,Low
Signal Phishing Campaign Targets German Officials in Suspected Russian Operation,"Suspected Russian phishing via Signal targeted German officials, exploiting trust to access accounts and sensitive political communications. A new wave of cyber operations targeting European political leadership is once again highlighting how modern espionage…","Signal Phishing Campaign Targets German Officials in Suspected Russian Operation
A new wave of cyber operations targeting European political leadership is once again highlighting how modern espionag… [+4964 chars]",Securityaffairs.com,2026-04-28T13:56:58Z,https://securityaffairs.com/191425/intelligence/signal-phishing-campaign-targets-german-officials-in-suspected-russian-operation.html,"signal phishing campaign targets german officials in suspected russian operation suspected russian phishing via signal targeted german officials, exploiting trust to access accounts and sensitive political communications. a new wave of cyber operations targeting european political leadership is once again highlighting how modern espionage…",1,0.62,2,0.5,0.536,Medium
Alleged Chinese State Hacker Extradited to US,"A member of Silk Typhoon, Xu Zewei is accused of launching cyberattacks against universities in the US.
The post Alleged Chinese State Hacker Extradited to US appeared first on SecurityWeek.","A Chinese national accused of being part of a notorious state-sponsored advanced persistent threat (APT) group was extradited from Italy to the US over the weekend, the Department of Justice announce… [+2192 chars]",Securityweek.com,2026-04-28T13:36:12Z,https://www.securityweek.com/alleged-chinese-state-hacker-extradited-to-us/,"alleged chinese state hacker extradited to us a member of silk typhoon, xu zewei is accused of launching cyberattacks against universities in the us.
the post alleged chinese state hacker extradited to us appeared first on securityweek.",0,0.01,1,0.25,0.178,Low
"AV Announces Halo_Shield™, Comprehensive Tile-Based C-UAS Solution","Unique, Modular Layered Defense Architecture System Combines the Best of AV and its OEM Suppliers to Protect Critical Asset Locations ARLINGTON, Va. — AeroVironment, Inc. (“AV”) (NASDAQ: AVAV), a global leader in multi-domain defense solutions, today announce…","Unique, Modular Layered Defense Architecture System Combines the Best of AV and its OEM Suppliers to Protect Critical Asset Locations
THIS CONTENT IS RESERVED FOR SUBSCRIBERS ONLY
Subscribe now to … [+8487 chars]",Financial Post,2026-04-28T13:20:55Z,https://financialpost.com/pmn/business-wire-news-releases-pmn/av-announces-halo_shield-comprehensive-tile-based-c-uas-solution,"av announces halo_shield™, comprehensive tile-based c-uas solution unique, modular layered defense architecture system combines the best of av and its oem suppliers to protect critical asset locations arlington, va. — aerovironment, inc. (“av”) (nasdaq: avav), a global leader in multi-domain defense solutions, today announce…",0,0.07,0,0.0,0.021,Low
Fortinet Report Reveals Cybersecurity Hiring Stalls as Nearly Half of IT Leaders Face Corporate Pushback,"Cybersecurity skills gap challenges persist in a high-stakes landscape where cybercriminals weaponize AI and IT professionals lack proficiency to use AI defensively SUNNYVALE, Calif., April 28, 2026 (GLOBE NEWSWIRE) — Fortinet® (NASDAQ: FTNT), the global cybe…","About FortinetFortinet (NASDAQ: FTNT) is a driving force in the evolution of cybersecurity and the convergence of networking and security. Our mission is to secure people, devices, and data everywher… [+2962 chars]",Financial Post,2026-04-28T13:02:59Z,https://financialpost.com/globe-newswire/fortinet-report-reveals-cybersecurity-hiring-stalls-as-nearly-half-of-it-leaders-face-corporate-pushback,"fortinet report reveals cybersecurity hiring stalls as nearly half of it leaders face corporate pushback cybersecurity skills gap challenges persist in a high-stakes landscape where cybercriminals weaponize ai and it professionals lack proficiency to use ai defensively sunnyvale, calif., april 28, 2026 (globe newswire) — fortinet® (nasdaq: ftnt), the global cybe…",0,0.07,0,0.0,0.021,Low
"Veeam Backup & Replication Q1 2026 Updates: Deep Dive into v13 Capabilities, Patches, and Emerging AI Governance Features","Veeam Backup & Replication (VBR) continues to set the pace in enterprise data resilience. With v13 having landed in November 2025 as a major architectural shift, Q1 2026 has delivered important post-GA refinements through patches, incremental workload enhance…","Veeam Backup &amp; Replication (VBR) continues to set the pace in enterprise data resilience. With v13 having landed in November 2025 as a major architectural shift, Q1 2026 has delivered important p… [+15297 chars]",Vladan.fr,2026-04-28T12:39:55Z,https://www.vladan.fr/veeam-backup-replication-q1-2026-updates-deep-dive-into-v13-capabilities-patches-and-emerging-ai-governance-features/,"veeam backup & replication q1 2026 updates: deep dive into v13 capabilities, patches, and emerging ai governance features veeam backup & replication (vbr) continues to set the pace in enterprise data resilience. with v13 having landed in november 2025 as a major architectural shift, q1 2026 has delivered important post-ga refinements through patches, incremental workload enhance…",0,0.02,0,0.0,0.006,Low
Why Secure Data Movement Is the Zero Trust Bottleneck Nobody Talks About,"Every security program is betting on the same assumption: once a system is connected, the problem is solved. Open a ticket, stand up a gateway, push the data through. Done.
That assumption is wrong. It is also a major reason Zero Trust programs stall.
New res…","Every security program is betting on the same assumption: once a system is connected, the problem is solved. Open a ticket, stand up a gateway, push the data through. Done.
That assumption is wrong.… [+6594 chars]",Internet,2026-04-28T11:58:00Z,https://thehackernews.com/2026/04/why-secure-data-movement-is-zero-trust.html,"why secure data movement is the zero trust bottleneck nobody talks about every security program is betting on the same assumption: once a system is connected, the problem is solved. open a ticket, stand up a gateway, push the data through. done.
that assumption is wrong. it is also a major reason zero trust programs stall.
new res…",0,0.02,0,0.0,0.006,Low
Wired for War: Why is the EU ignoring the Israeli cyber threat?,"From Black Cube stings to Pegasus spyware, there’s an Israeli threat to Europe that the EU refuses to even acknowledge Read Full Article at RT.com",Two proven cases of political interference by a Mossad-linked private intelligence firm should have set alarm bells ringing in Brussels. The EU’s silence reveals just how deeply the Israeli spy-tech … [+9260 chars],RT,2026-04-28T11:44:17Z,https://www.rt.com/news/639159-israel-spies-eu-pegasus/,"wired for war: why is the eu ignoring the israeli cyber threat? from black cube stings to pegasus spyware, there’s an israeli threat to europe that the eu refuses to even acknowledge read full article at rt.com",0,0.06,0,0.0,0.018,Low
New Linux FIRESTARTER Backdoor Targets Cisco Firepower Devices,"CISA and NCSC warn that FIRESTARTER, a Linux-based backdoor, targets Cisco Firepower devices, evades patches, and enables persistent access even after firmware updates.",The US Cybersecurity and Infrastructure Security Agency (CISA) and the UK National Cyber Security Centre (NCSC) released a joint malware analysis report on 23 April 2026 regarding a dangerous new thr… [+4077 chars],HackRead,2026-04-28T11:41:17Z,https://hackread.com/linux-firestarter-backdoor-cisco-firepower-devices/,"new linux firestarter backdoor targets cisco firepower devices cisa and ncsc warn that firestarter, a linux-based backdoor, targets cisco firepower devices, evades patches, and enables persistent access even after firmware updates.",0,0.04,0,0.0,0.012,Low
Shadow code: The hidden threat for enterprise IT,The shadow code running in your web apps could be a ticking time bomb. Learn more about the cybersecurity risks of shadow code and how to protect your enterprise.,"Many enterprises have a lurking threat embedded deep in their systems, and the risks to privacy and cybersecurity can be grave: shadow code.
Shadow code is any code -- libraries, scripts, APIs, and … [+3943 chars]",Techtarget.com,2026-04-28T10:35:00Z,https://www.techtarget.com/searchsecurity/tip/Shadow-code-The-hidden-threat-for-enterprise-IT,shadow code: the hidden threat for enterprise it the shadow code running in your web apps could be a ticking time bomb. learn more about the cybersecurity risks of shadow code and how to protect your enterprise.,0,0.07,0,0.0,0.021,Low
Quantum can wait: Why CISOs should focus on today’s preventable cyber risks,The criminals of today are still exploiting basic security failures.,"The cybersecurity industry has long grappled with how to prepare for threats on the horizon, and few have seized attention as firmly as quantum computing. The potential for quantum tech to unpick tod… [+7315 chars]",TechRadar,2026-04-28T10:30:18Z,https://www.techradar.com/pro/quantum-can-wait-why-cisos-should-focus-on-todays-preventable-cyber-risks,quantum can wait: why cisos should focus on today’s preventable cyber risks the criminals of today are still exploiting basic security failures.,1,0.74,1,0.25,0.397,Medium
What the NSA’s former director wants CEOs to know about navigating a dangerous world,Also: All the news and watercooler chat from Fortune.,"Good morning. What does it mean to be agile during these volatile, fast-moving and often dangerous times? Fortune co-hosted a CEO dinner with BCG in Chicago on Thursday where we talked about opportun… [+5191 chars]",Fortune,2026-04-28T10:11:08Z,https://fortune.com/2026/04/28/nsa-former-director-michael-rogers-ceos-advice/,what the nsa’s former director wants ceos to know about navigating a dangerous world also: all the news and watercooler chat from fortune.,0,0.02,0,0.0,0.006,Low
"No Metrics Are Better Than Bad Metrics in the SOC, Says NCSC",The National Cyber Security Centre has warned against measuring SOCs with ticket-based metrics,"Many of the most common metrics used to measure the effectiveness of the security operations center (SOC) are at best inaccurate and at worst actively harm SecOps teams, the National Cyber Security C… [+3236 chars]",Infosecurity Magazine,2026-04-28T08:30:00Z,https://www.infosecurity-magazine.com/news/no-metrics-better-bad-metrics-soc/,"no metrics are better than bad metrics in the soc, says ncsc the national cyber security centre has warned against measuring socs with ticket-based metrics",0,0.06,0,0.0,0.018,Low
North Korean Hackers Target Crypto Firms with ClickFix and AI-Made Zoom Lures,"Arctic Wolf attributed this large-scale spear-phishing campaign to BlueNoroff, a financially motivated subgroup of the Lazarus Group","A team of hackers associated to the North Korean-linked Lazarus Group has conducted a large-scale cyber theft campaign targeting over 100 cryptocurrency organizations across more than 20 countries, a… [+4100 chars]",Infosecurity Magazine,2026-04-28T08:00:00Z,https://www.infosecurity-magazine.com/news/bluenoroff-dprk-hackers-target/,"north korean hackers target crypto firms with clickfix and ai-made zoom lures arctic wolf attributed this large-scale spear-phishing campaign to bluenoroff, a financially motivated subgroup of the lazarus group",1,0.67,1,0.25,0.376,Medium
Chinese Silk Typhoon Hacker Extradited to U.S. Over COVID Research Cyberattacks,"A Chinese national accused of being a member of the Silk Typhoon hacking group has been extradited to the U.S. from Italy. 
Xu Zewei, 34, was arrested in July 2025 by Italian authorities for his alleged links to the Chinese state-sponsored threat group and fo…","A Chinese national accused of being a member of the Silk Typhoon hacking group has been extradited to the U.S. from Italy. 
Xu Zewei, 34, was arrested in July 2025 by Italian authorities for his all… [+1966 chars]",Internet,2026-04-28T07:57:00Z,https://thehackernews.com/2026/04/chinese-silk-typhoon-hacker-extradited.html,"chinese silk typhoon hacker extradited to u.s. over covid research cyberattacks a chinese national accused of being a member of the silk typhoon hacking group has been extradited to the u.s. from italy. 
xu zewei, 34, was arrested in july 2025 by italian authorities for his alleged links to the chinese state-sponsored threat group and fo…",1,0.04,1,0.25,0.187,Low
ASE signs cybersecurity MOU with national institute to shore up semiconductor defenses,"Advanced Semiconductor Engineering (ASE) and the National Institute of Cyber Security signed a memorandum of understanding on April 28 to establish a joint cyber defense, intelligence sharing, and cooperation framework aimed at countering complex global cyber…","Keep me signed in
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function, check the… [+285 chars]",Digitimes,2026-04-28T07:13:10Z,https://www.digitimes.com/news/a20260428PD240/ase-cybersecurity-semi-technology.html,"ase signs cybersecurity mou with national institute to shore up semiconductor defenses advanced semiconductor engineering (ase) and the national institute of cyber security signed a memorandum of understanding on april 28 to establish a joint cyber defense, intelligence sharing, and cooperation framework aimed at countering complex global cyber…",0,0.03,0,0.0,0.009,Low
State of Security 2026: Endpoint Security,Cleanaway tidies up endpoint security.,"Australian waste, recycling, and resource recovery services company Cleanaway Waste Management is consolidating its sprawling mix of cybersecurity tools in response to a rapidly changing threat lands… [+3033 chars]",iTnews,2026-04-28T06:12:00Z,https://www.itnews.com.au/state-of-security-2026/state-of-security-2026-endpoint-security-625424,state of security 2026: endpoint security cleanaway tidies up endpoint security.,0,0.01,0,0.0,0.003,Low
State of Security 2026: XDR,Employers Mutual Limited strengthens cyber defences with XDR shift.,"The emergence of extended detection and response (XDR) platforms was a direct response to the need to correlate a growing volume of security telemetry across endpoints, cloud, identity, and networks,… [+3845 chars]",iTnews,2026-04-28T05:47:00Z,https://www.itnews.com.au/state-of-security-2026/state-of-security-2026-xdr-625421,state of security 2026: xdr employers mutual limited strengthens cyber defences with xdr shift.,0,0.05,0,0.0,0.015,Low
"Lower growth but no recession says Bank of Ireland, and RTE’s new radio jingles","The best news, analysis and comment from The Irish Times business desk",Bank of Ireland has slashed its growth forecasts for the year as the Iran war puts an unwelcome squeeze on household income. But the bank doesnt think Ireland is heading for recession in its latest e… [+2233 chars],The Irish Times,2026-04-28T05:29:18Z,https://www.irishtimes.com/business/2026/04/28/lower-growth-but-no-recession-says-bank-of-ireland-and-rtes-new-radio-jingles/,"lower growth but no recession says bank of ireland, and rte’s new radio jingles the best news, analysis and comment from the irish times business desk",0,0.01,0,0.0,0.003,Low
Irish banks left with work to do on cyber security amid Mythos threat,Report shows financial institutions in Ireland among the most vulnerable in Europe to hackers,"Unless youve been living under a rock, by now youll have heard about Anthropics new AI model, Mythos, and the apparent risks it brings to the global financial system and tech world in general.
Mytho… [+1998 chars]",The Irish Times,2026-04-28T05:00:01Z,https://www.irishtimes.com/business/2026/04/28/irish-banks-left-with-work-to-do-on-cyber-security-amid-mythos-threat/,irish banks left with work to do on cyber security amid mythos threat report shows financial institutions in ireland among the most vulnerable in europe to hackers,0,0.1,0,0.0,0.03,Low
Six in 10 financial firms now rank cyber attacks as top concern,"Cyber attacks and system outages are now seen as the biggest operational risk facing Ireland’s financial services sector this year, according to research by the Compliance Institute.","Cyber attacks and system outages are now seen as the biggest operational risk facing Irelands financial services sector this year, according to research by the Compliance Institute.Six in 10 organisa… [+2175 chars]",Independent.ie,2026-04-28T04:30:00Z,https://www.independent.ie/business/six-in-10-financial-firms-now-rank-cyber-attacks-as-top-concern/a873108936.html,"six in 10 financial firms now rank cyber attacks as top concern cyber attacks and system outages are now seen as the biggest operational risk facing ireland’s financial services sector this year, according to research by the compliance institute.",1,0.8,4,1.0,0.94,High
Why the AI Data Centers of 2030 Will Be Sovereign Fortresses,"The Great Decoupling LAST UPDATED: April 27, 2026 at 6:17 PM GUEST POST from Art Inteligencia The End of the “Cloud” Illusion For over a decade, we have been captivated by the metaphor of the “Cloud” — a term that suggests something ethereal, weightless, and …","The Great Decoupling
LAST UPDATED: April 27, 2026 at 6:17 PM
GUEST POST from Art Inteligencia
The End of the “Cloud” Illusion
For over a decade, we have been captivated by the metaphor of the “Cl… [+12905 chars]",Bradenkelley.com,2026-04-28T01:36:15Z,https://bradenkelley.com/2026/04/why-the-ai-data-centers-of-2030-will-be-sovereign-fortresses/,"why the ai data centers of 2030 will be sovereign fortresses the great decoupling last updated: april 27, 2026 at 6:17 pm guest post from art inteligencia the end of the “cloud” illusion for over a decade, we have been captivated by the metaphor of the “cloud” — a term that suggests something ethereal, weightless, and …",0,0.02,0,0.0,0.006,Low
"Anthropic Mythos: Firms with access to model say speed of response, not uncovering flaws, is key","A new AI model, Mythos, drastically shrinks the time between discovering and exploiting software vulnerabilities, creating a critical ""kill zone"" for companies. Indian firms, with slow patching cycles, face significant risk as AI-driven attacks become faster …","Companies given early access to Anthropics Mythos model under Project Glasswing told ET that the biggest cybersecurity risk is now speed of response, not just uncovering software flaws as the window … [+5162 chars]",The Times of India,2026-04-28T00:30:00Z,https://economictimes.indiatimes.com/tech/technology/anthropic-mythos-shrinks-vulnerability-exploit-window-indian-companies-at-risk/articleshow/130560442.cms,"anthropic mythos: firms with access to model say speed of response, not uncovering flaws, is key a new ai model, mythos, drastically shrinks the time between discovering and exploiting software vulnerabilities, creating a critical ""kill zone"" for companies. indian firms, with slow patching cycles, face significant risk as ai-driven attacks become faster …",1,0.64,2,0.5,0.542,Medium
"Anthropic Mythos shrinks vulnerability exploit window, Indian companies at risk","A new AI model, Mythos, drastically shrinks the time between discovering and exploiting software vulnerabilities, creating a critical ""kill zone"" for companies. Indian firms, with slow patching cycles, face significant risk as AI-driven attacks become faster …","Companies given early access to Anthropics Mythos model under Project Glasswing told ET that the biggest cybersecurity risk is now speed of response, not just uncovering software flaws as the window … [+5162 chars]",The Times of India,2026-04-28T00:30:00Z,https://economictimes.indiatimes.com/tech/artificial-intelligence/anthropic-mythos-shrinks-vulnerability-exploit-window-indian-companies-at-risk/articleshow/130560443.cms,"anthropic mythos shrinks vulnerability exploit window, indian companies at risk a new ai model, mythos, drastically shrinks the time between discovering and exploiting software vulnerabilities, creating a critical ""kill zone"" for companies. indian firms, with slow patching cycles, face significant risk as ai-driven attacks become faster …",1,0.73,3,0.75,0.7439999999999999,High
State of Observability in Financial Services 2026: From implementation to business impact,"Explore the 2026 state of observability financial services report. Discover trends in GenAI adoption, OTel, cost optimization, and compliance....","The demands on financial services companies are intensifying rapidly. They must not only deliver seamless system performance but also control costs, secure sensitive data, and maximize the value of t… [+12870 chars]",Elastic.co,2026-04-28T00:00:00Z,https://www.elastic.co/blog/state-of-observability-2026-financial-services,"state of observability in financial services 2026: from implementation to business impact explore the 2026 state of observability financial services report. discover trends in genai adoption, otel, cost optimization, and compliance....",0,0.04,0,0.0,0.012,Low
Irish financial firms see cyber attacks as biggest operational threat,Survey finds large majority of compliance experts believe their company is well prepared to deal with incidents,Irish financial services firms believe that cyber attacks or system outages represent the biggest threat to their operations in 2026 in the aftermath of several high-profile incidents in recent times… [+2391 chars],The Irish Times,2026-04-27T23:01:00Z,https://www.irishtimes.com/business/2026/04/28/irish-financial-firms-see-cyber-attacks-as-the-biggest-operational-threat/,irish financial firms see cyber attacks as biggest operational threat survey finds large majority of compliance experts believe their company is well prepared to deal with incidents,1,0.74,4,1.0,0.9219999999999999,High
Canadian Police Arrest Three Men Behind SMS Blaster Scam That Allegedly Hijacked Thousands of Phones,Authorities said the SMS Blaster could have disrupted network connections and potentially blocked calls to 911.,"Canadian police have arrested three men tied to what authorities are calling a first-of-its-kind fraudulent text scam in the country, one they warn highlights an emerging threat to both public safety… [+2895 chars]",Gizmodo.com,2026-04-27T23:00:59Z,https://gizmodo.com/canadian-police-arrest-three-men-behind-sms-blaster-scam-that-allegedly-hijacked-thousands-of-phones-2000751386,canadian police arrest three men behind sms blaster scam that allegedly hijacked thousands of phones authorities said the sms blaster could have disrupted network connections and potentially blocked calls to 911.,0,0.08,0,0.0,0.024,Low
